thread,exec_time,allocator
1,1600.986693,pmdk
2,830.194009,pmdk
4,444.345982,pmdk
6,296.842109,pmdk
10,198.749232,pmdk
16,178.387474,pmdk
20,150.957778,pmdk
24,134.638291,pmdk
32,,pmdk
40,,pmdk
48,,pmdk
62,,pmdk
72,,pmdk
80,,pmdk
84,,pmdk
88,,pmdk
1,1595.707934,pmdk
2,860.579296,pmdk
4,452.828765,pmdk
6,297.857848,pmdk
10,198.049955,pmdk
16,176.416198,pmdk
20,151.392262,pmdk
24,134.608900,pmdk
32,,pmdk
40,,pmdk
48,,pmdk
62,,pmdk
72,,pmdk
80,,pmdk
84,,pmdk
88,,pmdk
1,1597.362224,pmdk
2,852.253932,pmdk
4,445.584661,pmdk
6,319.865606,pmdk
10,198.541420,pmdk
16,179.851126,pmdk
20,156.566408,pmdk
24,134.773345,pmdk
32,,pmdk
40,,pmdk
48,,pmdk
62,,pmdk
72,,pmdk
80,,pmdk
84,,pmdk
88,,pmdk
